Structure ID	smiles	electronic_energy	300K	400K	500K	600K	700K	800K
1	O[C@H]1[C@H](O)CO[C@@H](O)[C@@H]1O	-572.6546359	0.130831	0.114449	0.096034	0.075704	0.05358	0.029778
2	O	-76.42297737	0.003836	-0.003547	-0.011258	-0.019238	-0.027448	-0.035861
3	OC1=COC[C@@H](O)[C@@H]1O	-496.1932014	0.103466	0.088156	0.071087	0.052368	0.032109	0.010414
4	OC1=C[C@@H](O)[C@H](O)OC1	-496.2052015	0.104026	0.088926	0.07208	0.053591	0.033566	0.012107
5	O[C@H]1C=CO[C@@H](O)[C@@H]1O	-496.2041419	0.104043	0.088886	0.071984	0.053439	0.033355	0.011835
6	O=C[C@@H](O)[C@H](O)[C@@H](O)CO	-572.6376661	0.12436	0.106383	0.086288	0.064229	0.040345	0.014764
7	O=C[C@H](O)[C@@H](O)/C=C\O	-496.1880778	0.099339	0.083069	0.064979	0.045201	0.023858	0.001065
8	O=CC[C@H](O)[C@@H](O)C=O	-496.1994518	0.097204	0.080571	0.062149	0.042066	0.020437	-0.002631
9	O=CCO	-229.0396256	0.034574	0.023282	0.011204	-0.001602	-0.015083	-0.029194
10	O=CCC=O	-267.1335294	0.036544	0.024065	0.010675	-0.003557	-0.018571	-0.034315
11	O=C/C=C\[C@@H](O)C=O	-419.7483542	0.071925	0.056905	0.040393	0.022498	0.00332	-0.017051
12	OC1=COC=C[C@@H]1O	-419.7502712	0.077287	0.063303	0.047859	0.031042	0.012946	-0.006341
13	O=C[C@H](O)/C=C(/O)CO	-496.1878285	0.098048	0.081452	0.06303	0.042918	0.021241	-0.001887
14	O=C[C@H](O)CC(=O)CO	-496.2018251	0.096699	0.079833	0.06117	0.040842	0.018965	-0.004351
15	O=C/C=C/C(=O)CO	-419.7515878	0.070773	0.055194	0.038113	0.019649	-0.000097	-0.021034
16	CC(=O)CO	-268.3535144	0.059254	0.046217	0.032095	0.016965	0.000898	-0.016045
17	O=CC=O	-227.8166599	0.01116	0.00022	-0.011371	-0.023547	-0.036257	-0.04946
18	OC1=COCC(O)=C1	-419.7490276	0.077175	0.063286	0.047929	0.031196	0.013181	-0.006026
19	O=C1COCC(=O)C1	-419.7767206	0.076027	0.06205	0.046683	0.029997	0.012068	-0.007028
20	O=C1COC[C@@H](O)[C@@H]1O	-496.208051	0.103516	0.088266	0.071314	0.052753	0.03268	0.011189
21	C=C(O)[C@@H](O)[C@H](O)C=O	-496.1871102	0.097813	0.081324	0.062984	0.042937	0.021312	-0.001774
22	CC(=O)[C@@H](O)[C@H](O)C=O	-496.206918	0.096765	0.080077	0.061579	0.041405	0.019678	-0.003494
23	CC(=O)C=O	-267.1328636	0.036521	0.024073	0.010687	-0.003557	-0.018592	-0.034363
24	CC(=O)/C=C(/O)C=O	-419.7668495	0.071362	0.056009	0.039154	0.020912	0.001386	-0.019332
25	CC(=O)CC(=O)C=O	-419.7683586	0.069456	0.053882	0.03681	0.018355	-0.001378	-0.022301
26	O=C1COC=C[C@@H]1O	-419.7502713	0.077284	0.0633	0.047855	0.031038	0.012941	-0.006346
27	O=C[C@H]1OC[C@H](O)[C@H]1O	-496.19595	0.101171	0.085382	0.06787	0.048731	0.028065	0.005972
28	O=CC1=C[C@@H](O)CO1	-419.7497776	0.075227	0.060839	0.045018	0.027848	0.009414	-0.010201
29	O=Cc1ccco1	-343.3343274	0.050757	0.038121	0.024375	0.009575	-0.006218	-0.02294
30	O=C[C@@H](O)[C@@H](O)/C=C\O	-496.1884819	0.097488	0.080771	0.062221	0.041977	0.020162	-0.003107
31	O=CC[C@H](O)[C@H](O)C=O	-496.2040377	0.097763	0.08134	0.063132	0.043263	0.021849	-0.001003
32	O=CC(O)C=O	-342.357629	0.040596	0.027434	0.01318	-0.002073	-0.018245	-0.035267
33	CC=O	-153.8178306	0.030833	0.020514	0.009562	-0.001978	-0.014068	-0.026676
34	O=C[C@@H](O)/C=C(\O)CO	-496.1922895	0.097025	0.080058	0.061268	0.040792	0.018752	-0.004737
35	O=C[C@@H](O)CC(=O)CO	-496.2041183	0.096401	0.079446	0.060694	0.040277	0.018312	-0.005093
36	C=C(O)C=O	-267.1339488	0.039278	0.027454	0.014689	0.001055	-0.013382	-0.028562
37	O=C/C=C(\O)[C@@H](O)CO	-496.2018909	0.099153	0.082717	0.064477	0.044563	0.023095	0.000185
38	O=CCC(=O)[C@@H](O)CO	-496.2024292	0.096998	0.080208	0.061613	0.041348	0.019529	-0.003732
39	O=C[C@H](O)CO	-343.56537	0.063102	0.049101	0.033856	0.017464	0.00001	-0.01843
40	O=C[C@@H](O)[C@@H](O)CO	-458.1044108	0.095205	0.079667	0.062464	0.043715	0.023529	0.002004
41	C=O	-114.4979555	0.005974	-0.002562	-0.011468	-0.020702	-0.030236	-0.040049
42	O/C=C/O	-229.022954	0.033897	0.022653	0.010628	-0.002112	-0.015508	-0.029513
43	C-atom	-37.78151463	-0.013606	-0.019053	-0.0247	-0.030506	-0.036444	-0.042496
44	[HH]	-1.168556457	-0.001401	-0.006535	-0.011948	-0.017585	-0.023408	-0.029389
45	[C]=O	-113.3158067	-0.014069	-0.02176	-0.029734	-0.037935	-0.046328	-0.054889
46	C(=O)=O	-188.5881479	-0.008981	-0.017333	-0.026074	-0.035153	-0.044528	-0.054171
